math_names,url,wiki_page,tot_wiki_views,website_ranking
Simeon Denis Poisson,https://en.wikipedia.org/wiki/Sim%C3%A9on_Denis_Poisson,Sim%C3%A9on_Denis_Poisson,220095,95
Apollonius  of Perga,https://en.wikipedia.org/wiki/Apollonius_of_Perga,Apollonius_of_Perga,215495,31
Eudoxus  of Cnidus,https://en.wikipedia.org/wiki/Eudoxus_of_Cnidus,Eudoxus_of_Cnidus,213918,52
Richard Dedekind,https://en.wikipedia.org/wiki/Richard_Dedekind,Richard_Dedekind,211604,37
Shiing-Shen Chern,https://en.wikipedia.org/wiki/Shiing-Shen_Chern,Shiing-Shen_Chern,206285,87
Pafnuti Chebyshev,https://en.wikipedia.org/wiki/Pafnuty_Chebyshev,Pafnuty_Chebyshev,203833,82
Peter G. L. Dirichlet,https://en.wikipedia.org/wiki/Peter_Gustav_Lejeune_Dirichlet,Peter_Gustav_Lejeune_Dirichlet,199192,19
Stefan Banach,https://en.wikipedia.org/wiki/Stefan_Banach,Stefan_Banach,197791,56
Andre Weil,https://en.wikipedia.org/wiki/Andr%C3%A9_Weil,Andr%C3%A9_Weil,194365,60
Jean-Pierre Serre,https://en.wikipedia.org/wiki/Jean-Pierre_Serre,Jean-Pierre_Serre,191885,65
Felix Christian Klein,https://en.wikipedia.org/wiki/Felix_Klein,Felix_Klein,189491,40
Giuseppe Peano,https://en.wikipedia.org/wiki/Giuseppe_Peano,Giuseppe_Peano,176167,58
Arthur Cayley,https://en.wikipedia.org/wiki/Arthur_Cayley,Arthur_Cayley,166460,25
Francois Viete,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Vi%C3%A8te,Fran%C3%A7ois_Vi%C3%A8te,149334,69
Gaspard Monge,https://en.wikipedia.org/wiki/Gaspard_Monge,Gaspard_Monge,135987,70
Marius Sophus Lie,https://en.wikipedia.org/wiki/Sophus_Lie,Sophus_Lie,128189,66
Elie Cartan,https://en.wikipedia.org/wiki/%C3%89lie_Cartan,%C3%89lie_Cartan,122430,42
Johann H. Lambert,https://en.wikipedia.org/wiki/Johann_Heinrich_Lambert,Johann_Heinrich_Lambert,122100,91
Henri Lebesgue,https://en.wikipedia.org/wiki/Henri_Lebesgue,Henri_Lebesgue,118357,83
Jacques Hadamard,https://en.wikipedia.org/wiki/Jacques_Hadamard,Jacques_Hadamard,117416,57
Charles Hermite,https://en.wikipedia.org/wiki/Charles_Hermite,Charles_Hermite,115912,32
Pappus  of Alexandria,https://en.wikipedia.org/wiki/Pappus_of_Alexandria,Pappus_of_Alexandria,115488,98
Archytas  of Tarentum,https://en.wikipedia.org/wiki/Archytas,Archytas,112708,43
Felix Hausdorff,https://en.wikipedia.org/wiki/Felix_Hausdorff,Felix_Hausdorff,107231,93
James J. Sylvester,https://en.wikipedia.org/wiki/James_Joseph_Sylvester,James_Joseph_Sylvester,101572,88
M. E. Camille Jordan,https://en.wikipedia.org/wiki/Camille_Jordan,Camille_Jordan,98670,68
Liu Hui,https://en.wikipedia.org/wiki/Liu_Hui,Liu_Hui,97747,63
Hermann G. Grassmann,https://en.wikipedia.org/wiki/Hermann_Grassmann,Hermann_Grassmann,92651,67
Joseph Liouville,https://en.wikipedia.org/wiki/Joseph_Liouville,Joseph_Liouville,90873,51
Emile Borel,https://en.wikipedia.org/wiki/%C3%89mile_Borel,%C3%89mile_Borel,90846,47
Bonaventura Cavalieri,https://en.wikipedia.org/wiki/Bonaventura_Cavalieri,Bonaventura_Cavalieri,84629,64
Atle Selberg,https://en.wikipedia.org/wiki/Atle_Selberg,Atle_Selberg,78048,77
Julius Plucker,https://en.wikipedia.org/wiki/Julius_Pl%C3%Bccker,Julius_Pl%C3%Bccker,76769,48
L.E.J. Brouwer,https://en.wikipedia.org/wiki/L._E._J._Brouwer,L._E._J._Brouwer,74885,78
George D. Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff,George_David_Birkhoff,74521,94
Ernst E. Kummer,https://en.wikipedia.org/wiki/Ernst_Kummer,Ernst_Kummer,67052,90
Jean-Victor Poncelet,https://en.wikipedia.org/wiki/Jean-Victor_Poncelet,Jean-Victor_Poncelet,65328,81
Carl Ludwig Siegel,https://en.wikipedia.org/wiki/Carl_Ludwig_Siegel,Carl_Ludwig_Siegel,64951,34
Jakob Steiner,https://en.wikipedia.org/wiki/Jakob_Steiner,Jakob_Steiner,64406,61
F. Gotthold Eisenstein,https://en.wikipedia.org/wiki/Gotthold_Eisenstein,Gotthold_Eisenstein,61545,53
Jean le Rond d'Alembert,https://en.wikipedia.org/wiki/Jean_le_Rond_d%2527Alembert,Jean_le_Rond_d%2527Alembert,2,46
